Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters)
2023-03-08 22:41:05,2023-03-09 23:12:41,UTC-06:00,2023-03-09 14:30:14,2023-03-09 14:52:18,22,Running,11.7,318.0,194,165,1,2,15,59,23,false,,,
2023-03-07 22:20:47,2023-03-08 22:41:05,UTC-06:00,2023-03-08 11:35:30,2023-03-08 12:33:27,57,Running,15.3,794.0,177,161,1,0,13,85,0,true,,,
2023-03-06 22:27:13,2023-03-07 22:20:47,UTC-06:00,2023-03-07 12:47:35,2023-03-07 13:09:20,21,Running,9.5,261.0,193,153,1,1,36,48,8,true,4028.07,100.63,13.89
2023-03-04 22:25:21,2023-03-05 22:11:15,UTC-06:00,2023-03-05 11:02:51,2023-03-05 11:40:30,37,Running,12.5,464.0,183,154,6,2,22,67,1,true,5499.61,213.29,-0.75
2023-03-02 21:52:35,2023-03-03 22:35:52,UTC-06:00,2023-03-03 17:30:07,2023-03-03 17:55:58,25,Running,9.8,276.0,173,145,14,5,11,63,0,true,4030.91,104.78,8.00
2023-02-28 21:33:53,2023-03-01 20:48:36,UTC-06:00,2023-03-01 17:58:15,2023-03-01 18:47:41,49,Running,11.0,455.0,173,139,14,12,57,16,0,true,6127.12,187.54,-6.63
2023-02-27 21:06:30,2023-02-28 21:33:53,UTC-06:00,2023-02-28 09:58:26,2023-02-28 11:08:29,70,Running,12.8,720.0,169,144,0,7,90,3,0,false,,,
2023-02-25 21:35:39,2023-02-26 21:30:33,UTC-06:00,2023-02-26 13:29:12,2023-02-26 14:37:41,68,Running,13.9,777.0,179,151,5,4,58,33,0,false,,,
2023-02-25 21:35:39,2023-02-26 21:30:33,UTC-06:00,2023-02-26 09:25:43,2023-02-26 10:27:50,62,Running,15.6,853.0,186,162,0,2,21,68,9,false,,,
2023-02-23 23:13:23,2023-02-24 23:11:45,UTC-06:00,2023-02-24 17:55:24,2023-02-24 18:22:46,27,Running,5.1,105.0,149,111,40,37,7,0,0,true,2139.85,78.16,-15.60
2023-02-23 23:13:23,2023-02-24 23:11:45,UTC-06:00,2023-02-24 14:06:43,2023-02-24 15:07:05,60,Running,13.9,739.0,175,155,0,2,47,51,0,false,,,
2023-02-21 23:09:41,2023-02-22 21:34:48,UTC-06:00,2023-02-22 12:55:56,2023-02-22 13:35:26,39,Running,15.2,602.0,191,169,2,4,14,29,51,true,7311.42,187.60,0.00
2023-02-20 22:09:49,2023-02-21 23:09:41,UTC-06:00,2023-02-21 19:24:53,2023-02-21 19:58:31,33,Running,8.0,297.0,157,139,0,21,78,0,0,true,3958.62,131.76,5.80
2023-02-20 22:09:49,2023-02-21 23:09:41,UTC-06:00,2023-02-21 12:45:08,2023-02-21 13:50:04,64,Running,11.9,635.0,160,144,0,4,95,0,0,true,8928.39,342.09,11.22
2023-02-19 22:12:09,2023-02-20 22:09:49,UTC-06:00,2023-02-20 11:37:41,2023-02-20 12:35:38,57,Running,13.0,653.0,171,150,1,0,71,25,0,true,8843.96,249.09,0.20
2023-02-17 23:34:55,2023-02-18 22:16:22,UTC-06:00,2023-02-18 14:19:00,2023-02-18 15:10:00,51,Running,13.7,625.0,184,154,4,2,25,64,1,true,,,
2023-02-16 21:31:20,2023-02-17 23:34:55,UTC-06:00,2023-02-17 16:31:34,2023-02-17 17:28:52,57,Running,12.5,605.0,169,146,2,10,69,17,0,true,7445.55,269.68,2.17
2023-02-15 22:17:24,2023-02-16 21:31:20,UTC-06:00,2023-02-16 12:56:28,2023-02-16 13:36:20,39,Running,13.2,530.0,191,158,1,1,43,49,6,true,7220.52,138.52,-2.85
2023-02-14 21:32:53,2023-02-15 22:17:24,UTC-06:00,2023-02-15 18:31:23,2023-02-15 19:34:27,63,Running,14.5,793.0,184,154,0,2,60,37,0,true,9039.56,315.91,-4.12
2023-02-13 23:11:12,2023-02-14 21:32:53,UTC-06:00,2023-02-14 10:08:54,2023-02-14 10:55:23,46,Running,13.1,574.0,175,153,1,2,46,49,0,true,6683.60,260.97,-1.10
2023-02-12 16:53:50,2023-02-13 23:11:12,UTC-06:00,2023-02-13 13:23:58,2023-02-13 13:58:47,34,Running,12.7,457.0,194,157,0,1,29,60,7,true,5462.82,139.92,1.84
2023-02-12 00:00:00,2023-02-12 16:53:50,UTC-06:00,2023-02-12 12:51:30,2023-02-12 13:22:51,31,Running,13.9,472.0,197,167,0,1,9,67,20,true,5223.45,176.88,-4.17
2023-02-04 22:38:16,2023-02-05 22:51:19,UTC-06:00,2023-02-05 10:53:32,2023-02-05 11:52:19,58,Running,14.7,748.0,187,157,0,2,26,61,7,true,,,
2023-02-01 21:57:03,2023-02-02 22:11:05,UTC-06:00,2023-02-02 14:15:46,2023-02-02 15:08:12,52,Running,13.8,654.0,177,155,2,5,20,72,0,true,8358.60,239.64,-6.07
2023-01-28 18:21:33,2023-01-29 17:44:56,UTC-06:00,2023-01-29 08:17:00,2023-01-29 09:59:00,102,Running,15.9,1109.0,184,147,7,4,45,40,0,false,,,
2023-01-26 21:51:18,2023-01-27 23:02:09,UTC-06:00,2023-01-27 19:14:53,2023-01-27 20:27:06,72,Activity,13.9,706.0,178,158,0,1,24,53,0,false,,,
2023-01-25 21:51:24,2023-01-26 21:51:18,UTC-06:00,2023-01-26 12:23:40,2023-01-26 13:24:03,60,Running,14.0,753.0,172,156,0,0,53,47,0,false,,,
2023-01-24 21:56:10,2023-01-25 21:51:24,UTC-06:00,2023-01-25 19:27:13,2023-01-25 19:52:30,25,Running,10.3,316.0,181,157,0,3,31,66,0,false,,,
2023-01-24 21:56:10,2023-01-25 21:51:24,UTC-06:00,2023-01-25 07:19:30,2023-01-25 07:43:19,23,Running,10.3,300.0,179,157,1,10,16,73,0,false,,,
2023-01-22 21:59:59,2023-01-23 22:36:04,UTC-06:00,2023-01-23 08:02:15,2023-01-23 09:05:09,62,Running,12.7,669.0,175,148,0,6,78,16,0,false,,,
2023-01-21 21:24:10,2023-01-22 21:59:59,UTC-06:00,2023-01-22 15:38:02,2023-01-22 16:02:10,24,Running,9.1,277.0,170,152,0,4,58,38,0,false,,,
2023-01-18 17:37:07,2023-01-19 22:14:28,UTC-06:00,2023-01-19 08:05:17,2023-01-19 10:08:09,122,Running,19.8,1799.0,188,167,0,2,16,54,28,false,,,
2023-01-17 22:07:20,2023-01-18 17:37:07,UTC-06:00,2023-01-18 08:39:31,2023-01-18 09:53:07,73,Running,12.4,679.0,165,140,1,12,78,3,0,false,,,
2023-01-16 22:22:05,2023-01-17 22:07:20,UTC-06:00,2023-01-17 13:51:11,2023-01-17 15:00:21,69,Running,13.2,722.0,175,146,2,6,77,13,0,false,,,
2023-01-15 22:04:07,2023-01-16 22:22:05,UTC-06:00,2023-01-16 12:28:00,2023-01-16 13:00:00,32,Meditation,0.0,40.0,97,74,0,0,0,0,0,false,,,
2023-01-15 22:04:07,2023-01-16 22:22:05,UTC-06:00,2023-01-16 08:24:55,2023-01-16 09:48:51,83,Running,13.2,766.0,173,141,7,29,49,14,0,false,,,
2023-01-14 22:42:46,2023-01-15 22:04:07,UTC-06:00,2023-01-15 14:25:00,2023-01-15 15:50:00,85,Walking,6.5,231.0,153,108,72,18,1,0,0,false,,,
2023-01-14 22:42:46,2023-01-15 22:04:07,UTC-06:00,2023-01-15 09:00:00,2023-01-15 11:53:00,173,Stretching,5.6,303.0,134,91,31,7,0,0,0,false,,,
2023-01-13 21:06:44,2023-01-14 22:42:46,UTC-06:00,2023-01-14 14:23:04,2023-01-14 14:23:14,0,Meditation,0.0,0.0,89,88,0,0,0,0,0,false,,,
