timestamp,heart_rate,cadence,distance,latitude,longitude,lat_prev,lon_prev,distance_segment_m,distance_cumulative_km,time_delta_s,speed_mps,pace_min_per_km
2025-04-25 20:19:06+00:00,129,79,212.47,34.60703224875033,-98.42325026169419,34.607030572369695,-98.42327792197466,2.538349209877943,0.1319221160031237,1.0,2.538349209877943,6.565960245005619
2025-04-25 20:19:07+00:00,129,79,215.09,34.60703233256936,-98.42322151176631,34.60703224875033,-98.42325026169419,2.631237623122984,0.13455335362624668,1.0,2.631237623122984,6.334167561886142
2025-04-25 20:19:08+00:00,130,80,217.72,34.60703367367387,-98.42319284565747,34.60703233256936,-98.42322151176631,2.627784636102292,0.13718113826234898,1.0,2.627784636102292,6.342490846099617
2025-04-25 20:19:09+00:00,128,80,220.44,34.60703568533063,-98.42316325753927,34.60703367367387,-98.42319284565747,2.7171560214497865,0.13989829428379877,1.0,2.7171560214497865,6.133876696232993
2025-04-25 20:19:10+00:00,128,80,223.15,34.607041385024786,-98.42313459143043,34.60703568533063,-98.42316325753927,2.699016047593838,0.1425973103313926,1.0,2.699016047593838,6.175102224700848
2025-04-25 20:19:11+00:00,129,80,225.6,34.607046246528625,-98.42310843989253,34.607041385024786,-98.42313459143043,2.453701380107799,0.1450510117115004,1.0,2.453701380107799,6.79247284739587
2025-04-25 20:19:12+00:00,127,80,228.01,34.60704850964248,-98.42308237217367,34.607046246528625,-98.42310843989253,2.398977434532824,0.14744998914603322,1.0,2.398977434532824,6.9474184125644625
2025-04-25 20:19:13+00:00,127,80,230.16,34.607051610946655,-98.42305915430188,34.60704850964248,-98.42308237217367,2.152722225064852,0.14960271137109804,1.0,2.152722225064852,7.74215075495767
2025-04-25 20:19:14+00:00,126,80,232.34,34.60705102421343,-98.42303534969687,34.607051610946655,-98.42305915430188,2.1795965615133057,0.15178230793261135,1.0,2.1795965615133057,7.646690352836774
2025-04-25 20:19:15+00:00,127,80,234.88,34.60705102421343,-98.42300768941641,34.60705102421343,-98.42303534969687,2.531494963441486,0.15431380289605284,1.0,2.531494963441486,6.5837381629004526
2025-04-25 20:19:16+00:00,126,79,237.49,34.607049096375704,-98.42297902330756,34.60705102421343,-98.42300768941641,2.6322925453131423,0.15694609544136598,1.0,2.6322925453131423,6.331629069753452
2025-04-25 20:19:17+00:00,127,78,240.41,34.6070493478328,-98.42294700443745,34.607049096375704,-98.42297902330756,2.9305306572687666,0.15987662609863473,1.0,2.9305306572687666,5.687263485423914
2025-04-25 20:19:18+00:00,127,78,243.01,34.60705035366118,-98.42291867360473,34.6070493478328,-98.42294700443745,2.595275631021169,0.16247190172965592,1.0,2.595275631021169,6.421938310052298
2025-04-25 20:19:19+00:00,126,78,245.47,34.60705244913697,-98.42289193533361,34.60705035366118,-98.42291867360473,2.4581798500774275,0.16493008157973332,1.0,2.4581798500774275,6.780097883999429
2025-04-25 20:19:20+00:00,126,79,247.29,34.607053119689226,-98.42287215404212,34.60705244913697,-98.42289193533361,1.8119372037746702,0.166742018783508,1.0,1.8119372037746702,9.198276830609547
2025-04-25 20:19:21+00:00,125,79,250.37,34.60705236531794,-98.42283862642944,34.607053119689226,-98.42287215404212,3.0696250047370626,0.16981164378824506,1.0,3.0696250047370626,5.429555719112222
2025-04-25 20:19:22+00:00,125,78,252.81,34.60705077275634,-98.42281205579638,34.60705236531794,-98.42283862642944,2.4382086582384366,0.17224985244648353,1.0,2.4382086582384366,6.835633178352094
2025-04-25 20:19:23+00:00,126,78,255.24,34.60704943165183,-98.42278556898236,34.60705077275634,-98.42281205579638,2.428680770701926,0.17467853321718543,1.0,2.428680770701926,6.862449853869872
2025-04-25 20:19:24+00:00,127,79,257.72,34.607045240700245,-98.42275883071125,34.60704943165183,-98.42278556898236,2.491089116554873,0.1771696223337403,1.0,2.491089116554873,6.690527403953221
2025-04-25 20:19:25+00:00,127,80,260.09,34.607041887938976,-98.42273318208754,34.607045240700245,-98.42275883071125,2.376806862184837,0.17954642919592514,1.0,2.376806862184837,7.012223107046836
2025-04-25 20:19:26+00:00,128,80,262.77,34.60704255849123,-98.42270392924547,34.607041887938976,-98.42273318208754,2.678286075374469,0.18222471527129963,1.0,2.678286075374469,6.222897603524193
2025-04-25 20:19:27+00:00,130,80,265.7,34.607042307034135,-98.42267207801342,34.60704255849123,-98.42270392924547,2.915189203166336,0.18513990447446596,1.0,2.915189203166336,5.717193238057223
2025-04-25 20:19:28+00:00,128,80,268.41,34.60704356431961,-98.42264248989522,34.607042307034135,-98.42267207801342,2.7115392229157855,0.18785144369738174,1.0,2.7115392229157855,6.146582671254109
2025-04-25 20:19:29+00:00,129,79,270.83,34.60704658180475,-98.42261642217636,34.60704356431961,-98.42264248989522,2.409221205722834,0.1902606649031046,1.0,2.409221205722834,6.917878673992296
2025-04-25 20:19:30+00:00,128,79,272.72,34.60704708471894,-98.4225956350565,34.60704658180475,-98.42261642217636,1.9032786313008767,0.19216394353440547,1.0,1.9032786313008767,8.75683661125772
2025-04-25 20:19:31+00:00,128,79,274.29,34.60704515688121,-98.42257861979306,34.60704708471894,-98.4225956350565,1.571938258172371,0.19373588179257784,1.0,1.571938258172371,10.60264289220729
2025-04-25 20:19:32+00:00,127,79,275.84,34.60704121738672,-98.42256143689156,34.60704515688121,-98.42257861979306,1.6324663955970034,0.19536834818817483,1.0,1.6324663955970034,10.209521032072994
2025-04-25 20:19:33+00:00,127,78,277.33,34.607037864625454,-98.42254534363747,34.60704121738672,-98.42256143689156,1.5193201613039482,0.19688766834947877,1.0,1.5193201613039482,10.96984060666706
2025-04-25 20:19:34+00:00,127,78,278.77,34.60703384131193,-98.42253050766885,34.607037864625454,-98.42254534363747,1.4296044306789577,0.1983172727801577,1.0,1.4296044306789577,11.658259895070788
